,x,y,z
rec.autos,-1.8453358,-6.8943477,3.641853
comp.graphics,1.680859,-8.998876,0.47188088
sci.med,-0.5168389,-3.3743966,-2.9389002
comp.graphics,6.084166,-10.775375,-3.2103558
rec.autos,6.8086286,-6.5227113,4.927566
comp.graphics,-2.2990582,-10.254107,-2.9745796
rec.sport.baseball,-6.481554,0.38236988,-0.05555935
rec.autos,3.27965,-3.7734044,2.6587107
sci.med,6.1580906,3.8087013,1.5006902
talk.politics.mideast,2.1115606,9.43375,0.20403716
rec.sport.baseball,-7.205375,6.5789394,1.1335852
rec.sport.baseball,-11.61881,5.8256216,1.1737127
rec.sport.baseball,-9.275171,6.3025203,-1.9436408
sci.med,5.457159,2.482805,-2.652504
talk.politics.mideast,-2.1973405,13.541062,0.27264133
rec.autos,6.3147483,-3.6431026,3.2755415
rec.autos,-1.7312322,-4.55885,-0.52439654
talk.politics.mideast,-1.4080021,15.817805,0.86016476
rec.autos,5.716686,-0.67039603,7.5805655
rec.autos,2.9188223,-1.6539946,-10.008421
rec.autos,2.1483648,-4.290925,6.1884246
comp.graphics,1.6568974,-7.7061934,-6.042089
rec.autos,3.0090606,-3.4176612,2.5872507
comp.graphics,3.7243962,-12.736001,-1.9732673
talk.politics.mideast,-1.715934,11.142512,0.24781626
comp.graphics,3.578667,-12.25969,-1.3820148
talk.politics.mideast,-1.5086994,7.3559394,2.6859124
comp.graphics,-1.1870543,-1.0577149,-0.44985196
rec.sport.baseball,-9.146081,-2.6944563,-4.692605
sci.med,11.199773,-1.464441,1.7451153
comp.graphics,-8.055953,-5.8964205,-0.4317109
rec.sport.baseball,-6.285884,2.155201,1.5285528
sci.med,3.0455909,1.0359019,-1.9810115
talk.politics.mideast,-1.8816638,14.893042,1.2361939
rec.sport.baseball,-7.0569463,7.4573736,1.1046646
comp.graphics,-3.7930899,-12.167152,-3.5370705
sci.med,7.2874227,-1.2268237,-1.6205612
rec.sport.baseball,-11.116317,3.2649586,-2.9529226
sci.med,7.4903684,2.849162,-3.8064651
comp.graphics,-0.99113995,-7.3883433,-0.58751744
talk.politics.mideast,2.5649192,9.427197,1.0239011
rec.autos,6.392773,-6.216047,2.12462
comp.graphics,8.636406,-13.354022,0.55209696
talk.politics.mideast,1.2832912,10.045587,-3.5285373
