,x,y,z
rec.autos,6.4885964,-5.5612564,0.33421344
comp.graphics,2.4301472,2.8018236,5.459017
sci.med,2.1900065,-7.3489046,4.7664504
comp.graphics,3.3506558,-0.6601474,7.336076
rec.autos,-9.807057,11.928977,-2.8068306
comp.graphics,-9.202936,11.502758,-1.631614
rec.sport.baseball,-3.8578293,-10.931325,0.9865687
rec.autos,3.470675,-2.9868114,1.8310149
sci.med,0.8408082,-4.3780265,-4.2401996
talk.politics.mideast,-1.6848992,7.554122,-1.8584955
rec.sport.baseball,-5.807822,-2.5001042,-2.1983428
rec.sport.baseball,-7.2403145,-7.761722,-1.1064891
rec.sport.baseball,-7.031816,-4.1751494,-1.3095596
sci.med,-1.1521293,-0.32304484,-6.0118737
talk.politics.mideast,-10.516605,1.5288639,-5.485159
rec.autos,6.2442756,-0.6437776,-1.8212794
rec.autos,1.4118141,-6.4168663,3.9427924
talk.politics.mideast,-10.522545,1.6874392,-5.7530737
rec.autos,-0.3563356,1.8403205,-1.9090945
rec.autos,1.9491043,3.1308775,0.7938319
rec.autos,6.8645697,-3.714079,-2.3421693
comp.graphics,-11.398894,2.3200061,0.82931525
rec.autos,5.472689,-0.21084858,-0.08606348
comp.graphics,6.8523264,2.7563179,8.386175
talk.politics.mideast,-10.116777,1.0929358,-4.643008
comp.graphics,6.734907,-1.8332866,6.585089
talk.politics.mideast,-3.7281709,0.207284,-9.393481
comp.graphics,6.7928467,-8.396425,-0.070598215
rec.sport.baseball,-1.1283225,4.557681,2.622393
sci.med,4.4372845,2.7463758,-7.107849
comp.graphics,2.1397743,-2.2271833,6.88473
rec.sport.baseball,-3.5166638,-9.990133,-0.2949707
sci.med,0.98254424,-0.53694785,-6.847475
talk.politics.mideast,-9.656036,1.0264645,-6.0247383
rec.sport.baseball,2.7330148,8.6530695,-3.4278035
comp.graphics,6.644731,-8.432939,0.040370252
sci.med,3.261485,4.1420417,-7.001874
rec.sport.baseball,-4.2778997,12.546426,-1.7809846
sci.med,-1.4450097,-0.31891054,-7.5058904
comp.graphics,8.45649,-2.234641,11.133333
talk.politics.mideast,-3.709128,2.9928756,-8.544379
rec.autos,3.4286737,6.3439054,0.39181715
comp.graphics,4.3956213,4.6316876,8.710269
talk.politics.mideast,-3.453206,6.3911905,-4.8328056
rec.sport.baseball,-2.4205146,2.3061192,7.1444435
