,x,y,z
rec.autos,2.412866,-12.005796,9.28056
comp.graphics,11.810947,-1.5099244,-7.368822
sci.med,10.581885,2.0173082,6.5907984
comp.graphics,9.640357,-1.9927039,-1.147352
rec.autos,-9.394827,14.143698,-8.009078
comp.graphics,-8.938999,12.627138,-8.838007
rec.sport.baseball,9.07464,7.5766344,12.761926
rec.autos,-1.9154159,-3.3353102,5.658361
sci.med,-5.97137,-7.946289,11.462818
talk.politics.mideast,-2.8903816,4.989102,-8.054063
rec.sport.baseball,4.0851645,13.794412,2.3337264
rec.sport.baseball,11.326709,9.761448,2.0669677
rec.sport.baseball,14.249213,4.8823895,-1.0444691
sci.med,-11.905297,0.5618997,2.8321931
talk.politics.mideast,-11.953789,10.047521,5.3392825
rec.autos,-1.1684797,-12.305049,0.7074338
rec.autos,0.26484177,7.6915545,11.140671
talk.politics.mideast,-10.241241,11.141992,3.453343
rec.autos,-6.8345394,-4.4959273,-5.770351
rec.autos,-4.1257434,-12.894309,-6.7453046
rec.autos,-3.7628722,-12.280133,9.615725
comp.graphics,-17.030571,4.293487,1.4475933
rec.autos,-3.26876,-9.503165,1.4811499
comp.graphics,12.689365,-7.299619,-3.6901736
talk.politics.mideast,-9.936736,10.784219,2.4378607
comp.graphics,9.699625,-3.2866204,3.3087144
talk.politics.mideast,-9.581137,8.04055,12.148363
comp.graphics,5.3032336,-7.0077105,13.547513
rec.sport.baseball,0.5339503,0.13570273,-9.351103
sci.med,-15.05317,-9.644881,-3.3195226
comp.graphics,5.1981907,-3.2990744,1.209676
rec.sport.baseball,9.165804,10.382058,9.264059
sci.med,-7.346392,-3.9781244,1.4529455
talk.politics.mideast,-7.920628,13.875758,2.8674288
rec.sport.baseball,5.8112917,7.3452563,-14.218477
comp.graphics,5.2865644,-7.0057197,13.570661
sci.med,-12.188033,-8.897836,-4.201814
rec.sport.baseball,0.6219572,11.145228,-14.272266
sci.med,-8.79842,2.0736797,3.2297962
comp.graphics,13.836409,-10.981201,3.657149
talk.politics.mideast,-9.308416,5.270498,3.7506957
rec.autos,-1.0390683,-4.289607,-13.227696
comp.graphics,8.8233,-7.1732025,-8.541091
talk.politics.mideast,-4.308927,3.4842634,-5.0598397
rec.sport.baseball,3.3250206,2.2342365,-6.2795486
rec.sport.baseball,4.9366627,1.2942551,17.070585
comp.graphics,8.998082,-3.0466685,-9.977142
sci.med,-16.66703,-4.249214,-0.1905503
rec.sport.baseball,5.168407,8.293908,-10.462991
sci.med,-16.191202,-0.50012124,7.414062
sci.med,-2.8385758,-1.6770375,-19.937593
rec.sport.baseball,11.129127,4.056861,0.008687124
comp.graphics,8.35481,-5.197763,-6.730009
sci.med,-0.60474396,6.7941346,10.555596
comp.graphics,-14.654793,2.8336694,-10.730956
rec.autos,1.7416244,-11.175521,-4.322309
talk.politics.mideast,0.7693304,10.37146,-1.4647055
rec.autos,-3.7307088,-8.706382,6.214855
sci.med,-14.725238,-4.744249,-5.1199446
rec.autos,-1.6709182,-4.6674743,4.3285923
sci.med,-12.917519,-9.333453,-6.4415474
talk.politics.mideast,-3.7711792,3.1894913,4.7430015
comp.graphics,-2.9400356,-1.9992774,-11.154764
talk.politics.mideast,4.361134,7.977032,15.093331
talk.politics.mideast,4.155471,8.185863,14.275431
rec.sport.baseball,-2.008892,0.022718102,9.286958
talk.politics.mideast,-11.189922,7.127964,-1.6903892
sci.med,-11.7258415,3.9882963,0.49207267
rec.sport.baseball,2.124921,-2.5789273,-8.140104
rec.sport.baseball,4.5871954,11.205879,11.04305
sci.med,-10.622909,-2.2102163,-5.0952935
sci.med,-10.393769,-11.503567,9.2895565
rec.sport.baseball,8.105021,13.575513,-2.7017658
rec.sport.baseball,3.5469816,7.8280096,-11.150657
rec.autos,-4.6173487,-11.469199,-4.283805
rec.sport.baseball,6.889265,-16.589655,-2.2776165
