,x,y,z
rec.autos,-0.7623506,-0.5955475,-0.31801376
comp.graphics,-0.05122537,-0.07833917,-0.6257905
sci.med,-0.06692449,-0.13419834,-0.49325418
comp.graphics,-0.06993623,0.2521758,-1.3826429
rec.autos,-1.110373,-0.7032805,0.5977548
comp.graphics,-0.23724815,-0.13507876,-1.3313037
rec.sport.baseball,0.39816436,-0.9243149,0.12065873
rec.autos,-0.91028863,-0.59876806,0.5027583
sci.med,0.5613656,-0.09370791,0.38164884
talk.politics.mideast,-0.29398876,1.2960166,0.6954038
rec.sport.baseball,0.71653295,-1.227574,0.26034743
rec.sport.baseball,0.9301346,-1.673224,0.28700984
rec.sport.baseball,0.71794564,-1.1186173,0.2618988
sci.med,0.6595198,0.28928715,0.2872956
talk.politics.mideast,-1.539215,1.5170202,0.65165955
rec.autos,-0.9182021,-0.56857705,0.51499224
rec.autos,-0.598706,-0.5283699,-0.107450366
talk.politics.mideast,-1.688214,1.6117872,0.68308735
rec.autos,-1.2549243,-0.6988761,0.8803363
rec.autos,-1.1361278,-0.7133158,0.5790131
rec.autos,-0.96747184,-0.67392874,0.5073377
comp.graphics,0.112529546,0.34986356,-1.0655762
rec.autos,-0.91670346,-0.61223996,0.4809643
comp.graphics,-0.08412452,0.19147283,-1.2757657
talk.politics.mideast,-1.0120271,1.300713,0.6149679
comp.graphics,-0.116591744,0.17316152,-1.3825384
talk.politics.mideast,-0.18478297,0.96400064,0.5433686
comp.graphics,-0.04170078,-0.15912807,-0.23500827
rec.sport.baseball,-0.26087576,-0.20234425,1.1571206
sci.med,0.8361818,0.3252706,0.33024603
comp.graphics,0.45198464,0.035789274,-0.6133646
rec.sport.baseball,0.4600674,-1.0410202,0.1390072
sci.med,0.2449806,-0.035642173,0.17352931
talk.politics.mideast,-1.6761369,1.6035837,0.6809783
rec.sport.baseball,0.749109,-1.2628496,0.2624994
comp.graphics,-0.24227643,-0.08061608,-1.4330937
sci.med,0.5737034,0.16761348,0.18983707
