,x,y,z
rec.autos,0.0035704733,-0.08321802,0.02531292
comp.graphics,-0.031309083,-0.031581856,0.06493749
sci.med,-0.0041590254,-0.043716837,0.023523174
comp.graphics,-0.059382003,-0.041762292,0.118526526
rec.autos,0.0067714276,-0.15764314,0.050894003
comp.graphics,-0.05076749,-0.048294593,0.10652168
rec.sport.baseball,0.03221171,-0.111345746,-0.011648129
rec.autos,-0.0121972235,-0.048604675,0.039303735
sci.med,-0.034518734,0.060294043,0.03310239
talk.politics.mideast,-0.12534742,0.5595823,-0.014233298
rec.sport.baseball,0.16054136,-0.32515296,-0.14662243
rec.sport.baseball,0.27732423,-0.56309795,-0.24970958
rec.sport.baseball,0.26741987,-0.5405431,-0.24152066
sci.med,-0.036849312,0.048406027,0.042192608
talk.politics.mideast,-0.13029212,0.58446586,-0.016982723
rec.autos,-0.0153199015,-0.10052379,0.06548873
rec.autos,0.026647942,-0.08058388,-0.014709949
talk.politics.mideast,-0.14223267,0.64195216,-0.019860556
rec.autos,-0.0464493,0.16616255,0.010556135
rec.autos,-0.017385326,-0.05387306,0.050973754
rec.autos,-0.0065693194,-0.09051009,0.046484184
comp.graphics,-0.060180627,0.0054202536,0.09838731
rec.autos,-0.012468847,-0.06789299,0.04762426
comp.graphics,-0.064991765,-0.06124877,0.13502738
talk.politics.mideast,-0.11482506,0.50866574,-0.012727269
comp.graphics,-0.051675666,-0.052280243,0.10777226
talk.politics.mideast,-0.06966225,0.28772777,0.0005769441
comp.graphics,-0.0049408083,-0.05945323,0.030906094
rec.sport.baseball,0.036763765,-0.067773916,-0.037669882
sci.med,-0.049753536,0.0830919,0.050132148
comp.graphics,0.002780329,-0.010512706,-0.0021563703
rec.sport.baseball,0.05621224,-0.12979908,-0.045511927
sci.med,-0.015026143,0.0031840107,0.022875097
talk.politics.mideast,-0.13440756,0.6057518,-0.020489188
rec.sport.baseball,0.21536082,-0.42867914,-0.19818202
comp.graphics,0.0038147063,-0.06426929,0.018520765
sci.med,-0.050615977,0.08133489,0.05218342
rec.sport.baseball,0.29077914,-0.5899062,-0.2625443
