,x,y,z
rec.autos,0.29319683,-14.414133,25.711027
comp.graphics,27.779755,20.024504,8.275276
sci.med,4.018373,-0.4896582,6.8438907
comp.graphics,28.772518,4.2162766,7.4074984
rec.autos,-14.771262,-10.640892,16.341698
comp.graphics,10.192805,-1.0826819,20.159906
rec.sport.baseball,-8.282748,8.245847,8.018061
rec.autos,-30.133064,-16.119532,0.4133228
sci.med,-0.88033533,-3.066091,-13.961081
talk.politics.mideast,7.4010925,17.194063,-6.319621
rec.sport.baseball,-11.88925,2.1461878,-6.79527
rec.sport.baseball,-21.662542,9.529148,-9.17625
rec.sport.baseball,4.9808264,-2.0567524,-5.882467
sci.med,-12.500359,1.1865699,28.77884
talk.politics.mideast,-3.183686,15.763639,-18.192696
rec.autos,-21.774439,-14.54057,13.500731
rec.autos,-4.133384,12.805414,34.132923
talk.politics.mideast,-8.797464,15.131786,-15.753651
rec.autos,13.690754,23.318777,-19.810118
rec.autos,41.85946,-1.6008883,-4.7336287
rec.autos,-19.458382,-21.947956,12.44111
comp.graphics,15.308429,-19.588732,14.265542
rec.autos,-21.0473,-0.33397081,18.379604
comp.graphics,34.447796,6.886634,20.206121
talk.politics.mideast,-0.47009075,19.401749,-18.551832
comp.graphics,20.208878,-4.2018347,19.44715
talk.politics.mideast,18.687235,12.016166,-9.994541
comp.graphics,2.2480783,14.477405,23.437845
rec.sport.baseball,0.73285353,28.740698,3.1247253
sci.med,-6.2926383,-0.22542952,-36.36327
comp.graphics,35.62326,2.7410538,6.0760975
rec.sport.baseball,-12.43552,11.022995,-11.832988
sci.med,1.9920003,-2.802689,1.6345
talk.politics.mideast,-19.069263,15.50631,-21.467012
rec.sport.baseball,-18.71099,-2.5586965,-15.201508
comp.graphics,8.824725,6.9510164,19.46503
sci.med,20.289198,-31.963554,3.8463936
rec.sport.baseball,-33.731,2.6029172,6.2692847
sci.med,12.146372,1.0967407,-14.715456
comp.graphics,17.110146,3.1512933,19.313538
talk.politics.mideast,-5.7274723,38.20362,1.757374
rec.autos,-14.027432,-29.28249,7.2213254
comp.graphics,-17.059393,-23.375938,-31.071232
talk.politics.mideast,-26.151295,-9.022029,-25.86625
rec.sport.baseball,24.414083,1.8069917,-31.479252
rec.sport.baseball,29.76337,-8.723542,3.1375597
comp.graphics,-8.450021,-8.298127,34.339703
sci.med,3.921918,-19.654814,-19.899279
rec.sport.baseball,-3.2855742,29.1848,5.480342
sci.med,4.1844726,-19.137774,-7.453665
sci.med,22.20677,-25.7622,-3.485388
rec.sport.baseball,6.0948143,44.935467,-0.10786755
comp.graphics,17.774187,-11.671408,6.1303954
sci.med,3.090556,0.87112266,-3.5788028
comp.graphics,-39.219322,-7.010332,12.191901
rec.autos,-22.857307,-21.679077,14.002726
talk.politics.mideast,-12.462524,-5.2950296,-12.089935
rec.autos,-16.108942,-11.846465,-35.579617
sci.med,-20.468754,-29.373907,-23.347155
rec.autos,-13.498784,-2.358344,10.22624
sci.med,0.42977077,4.881651,-8.385347
talk.politics.mideast,-29.432959,8.829336,24.159552
comp.graphics,9.9401655,24.8695,-29.445606
talk.politics.mideast,2.3303895,3.0528052,1.220239
talk.politics.mideast,-3.553845,-2.0147867,-2.1234505
rec.sport.baseball,3.4701953,-9.023873,33.134468
talk.politics.mideast,-2.9704938,17.12557,-11.307499
sci.med,18.18249,4.94948,-3.429829
rec.sport.baseball,-22.086113,6.7796245,16.0133
rec.sport.baseball,-0.6337105,4.5893555,4.247317
sci.med,22.052334,-1.2701638,-8.67685
sci.med,-2.3124056,-17.491983,-17.452042
rec.sport.baseball,-17.713968,5.281735,-0.43937108
rec.sport.baseball,-35.473076,12.199147,-1.7689347
rec.autos,4.7084064,-35.89924,14.941899
rec.sport.baseball,-7.7360063,0.61151725,1.9798203
rec.sport.baseball,6.748346,-8.527631,18.453154
talk.politics.mideast,0.36073124,23.420866,-8.923311
sci.med,14.37701,-9.891035,-13.955255
rec.autos,24.265036,27.006695,1.9944929
comp.graphics,20.82688,-0.93643695,15.852673
rec.sport.baseball,-0.3054843,-24.55728,-41.81867
comp.graphics,20.19977,-1.0099456,13.539665
talk.politics.mideast,-15.365469,33.5947,-3.5809734
rec.sport.baseball,-4.1141667,2.1961594,23.013578
talk.politics.mideast,-5.0295973,37.69045,1.65728
talk.politics.mideast,2.4597325,26.400784,-1.5053061
rec.sport.baseball,2.0484896,16.506054,4.6160545
sci.med,31.822765,-15.7465925,7.594241
comp.graphics,-36.718636,-10.204153,13.530565
sci.med,6.171854,-0.10628668,-17.333925
sci.med,-9.944254,-10.65469,-28.194221
talk.politics.mideast,7.3886967,12.201325,-6.119826
rec.sport.baseball,3.4273796,34.151333,26.406973
rec.sport.baseball,3.4019675,-2.317747,16.657131
rec.sport.baseball,-16.987255,3.433897,-11.985219
comp.graphics,15.181429,12.357763,25.167538
sci.med,25.156458,-11.818862,-0.6336819
rec.sport.baseball,-14.806606,0.74206334,2.9715912
talk.politics.mideast,2.0047987,13.531061,-9.165269
sci.med,-0.87845623,-3.0652227,-13.962794
rec.sport.baseball,-0.95241016,3.5862129,39.941025
comp.graphics,-1.6095113,17.150618,-35.14361
talk.politics.mideast,-6.7073607,22.57366,-23.040052
comp.graphics,12.738959,5.4679832,13.217302
sci.med,-20.342487,-14.724429,-28.676651
talk.politics.mideast,37.36819,-22.186544,2.1594744
sci.med,5.2581053,-9.263224,-6.336566
rec.autos,-11.006109,1.098993,30.747147
comp.graphics,27.349354,-0.705945,20.329733
rec.autos,-10.763724,37.929863,8.618765
sci.med,18.132565,1.1220793,-17.76821
sci.med,5.9205847,15.565163,10.421819
rec.autos,19.341192,-6.292442,-29.805733
rec.sport.baseball,-12.467116,-5.3007417,-12.0841255
talk.politics.mideast,-26.792252,-9.384859,-26.038908
sci.med,-8.272966,-16.038984,-13.151474
rec.autos,1.9986287,7.536519,5.9721274
rec.autos,0.12387731,-4.7546477,5.9248395
comp.graphics,9.012289,-11.804121,-27.906225
talk.politics.mideast,17.56273,18.63521,-8.077495
talk.politics.mideast,9.844416,30.834124,3.2656984
rec.sport.baseball,-28.677761,-5.1330776,-6.163228
sci.med,3.9595616,-23.93416,-13.380325
rec.sport.baseball,6.4531646,-17.706705,37.560986
rec.autos,-0.82673544,9.115038,3.3645208
sci.med,4.830013,-9.352109,31.565672
talk.politics.mideast,-8.80879,7.628533,-22.808565
sci.med,0.38322657,4.942586,-8.589032
comp.graphics,23.536135,3.2328622,8.049715
talk.politics.mideast,-17.492056,29.34127,7.113118
talk.politics.mideast,-35.444096,16.10179,-18.88853
rec.sport.baseball,-34.519566,2.3669176,5.610673
comp.graphics,14.199986,-22.039028,23.53611
sci.med,9.432769,-39.24998,-18.377628
rec.autos,-12.283678,-17.10602,17.236534
comp.graphics,-1.6154572,2.7398756,10.10961
rec.autos,18.586765,32.047615,13.71039
talk.politics.mideast,18.682028,12.010887,-9.975688
rec.sport.baseball,-23.932951,-6.7247024,-12.367523
rec.sport.baseball,-18.59434,14.150218,-5.809441
rec.sport.baseball,7.3739285,-0.63468385,7.9709973
rec.autos,-21.462261,-0.058593396,18.765575
comp.graphics,16.204897,-14.44706,13.20527
talk.politics.mideast,6.074934,24.852957,-5.509564
talk.politics.mideast,0.8820337,22.791819,-9.928957
rec.autos,-3.5479095,1.9348795,19.627394
comp.graphics,17.854996,13.6344795,15.242197
comp.graphics,33.104015,-23.815027,14.5699
talk.politics.mideast,1.3006636,-8.118295,-33.420444
comp.graphics,-9.183526,-8.935539,34.232296
rec.sport.baseball,-38.119305,11.168239,-8.836222
rec.autos,-1.5549996,3.9762087,20.651197
rec.autos,-6.669687,-1.6742125,14.898587
rec.autos,-21.614513,-13.194249,5.699068
rec.autos,40.58706,-0.5731751,-5.653722
sci.med,-6.643132,-11.973097,-19.186394
rec.autos,-15.080625,-29.10076,-12.456194
sci.med,-3.0403857,16.438831,18.283848
rec.autos,17.577467,3.7918203,-30.962027
rec.sport.baseball,10.796112,14.311051,6.0464125
sci.med,0.5472481,3.1799424,3.2665868
rec.autos,4.7118726,5.9510474,15.394719
sci.med,-7.4519057,10.742913,27.992504
comp.graphics,7.970979,-12.100188,-27.527006
comp.graphics,-2.1634598,24.936615,34.401665
talk.politics.mideast,7.3337646,33.643734,-10.217115
sci.med,8.587916,28.64733,32.409695
rec.sport.baseball,13.836337,-11.656115,-35.079166
comp.graphics,22.698845,-4.503109,18.3322
talk.politics.mideast,-7.946324,20.437397,-22.303595
