,x,y,z
rec.autos,6.026696,-7.97056,4.820549
comp.graphics,-3.0727832,3.3583696,-10.057887
sci.med,5.599762,-11.11502,3.7421505
comp.graphics,5.419909,0.3013034,-5.5333405
rec.autos,2.2424505,19.405643,-0.64413685
comp.graphics,1.7825634,18.26093,-1.7377474
rec.sport.baseball,-3.123196,-5.2321925,10.396744
rec.autos,8.471954,-6.8383517,1.0748012
sci.med,-0.4734604,-6.8229465,-5.8622537
talk.politics.mideast,-3.1231022,9.906539,-1.9405183
rec.sport.baseball,-1.6093616,1.1163423,4.075255
rec.sport.baseball,-9.337654,-1.7119172,6.475715
rec.sport.baseball,-5.5839744,1.459982,6.647682
sci.med,0.3102708,-0.4945409,-1.8139844
talk.politics.mideast,5.8638787,8.492086,6.3483024
rec.autos,9.090286,-4.746388,-2.8363707
rec.autos,1.967273,-5.605095,9.205612
talk.politics.mideast,5.5612416,8.731618,6.8278074
rec.autos,-0.80648744,2.6884186,-0.5290532
rec.autos,1.7375822,7.1393714,-5.9915175
rec.autos,6.2898917,-2.8672593,5.2838826
comp.graphics,-4.956252,9.137232,8.036005
rec.autos,8.214328,-3.3154356,-1.0762616
comp.graphics,2.0775118,4.0714645,-11.348048
talk.politics.mideast,6.530923,8.048956,4.987661
comp.graphics,6.1885214,-12.404057,0.25814414
talk.politics.mideast,-1.3849523,2.3652546,5.890559
comp.graphics,3.4936855,-8.401531,8.162776
rec.sport.baseball,-6.221413,4.6223373,-4.4482455
sci.med,-6.1467595,11.1876,4.4707603
comp.graphics,7.055941,1.8062453,-4.991252
rec.sport.baseball,-4.8449345,-6.3917236,7.850891
sci.med,1.766099,-2.7066138,-4.271151
talk.politics.mideast,4.999518,7.1721835,6.780823
rec.sport.baseball,-8.450182,6.8087153,-1.2837126
comp.graphics,3.0800803,-8.455047,7.9194956
sci.med,-7.350501,11.38529,4.9768887
rec.sport.baseball,-3.3849359,16.13701,-0.3913964
sci.med,1.9333631,-0.8863149,-1.925816
comp.graphics,2.0710905,-14.72121,-3.1648452
talk.politics.mideast,4.4113717,6.9006267,-0.26784796
rec.autos,-3.7502847,7.624125,-5.0425982
comp.graphics,-0.58012885,6.475501,-12.105211
talk.politics.mideast,0.0035143928,9.565984,1.8127959
rec.sport.baseball,-9.571653,0.31836867,-6.34248
rec.sport.baseball,-0.4645993,-13.559482,7.1800833
comp.graphics,-2.731345,5.385515,-10.536021
sci.med,4.0097265,14.227641,-0.039922986
rec.sport.baseball,-8.803666,5.329037,0.51930654
sci.med,-2.0689034,-4.464608,-6.508136
sci.med,-7.2349815,12.456918,-5.3240194
rec.sport.baseball,-6.860585,-2.2251642,-0.8678589
comp.graphics,2.9333231,5.206423,-8.943786
sci.med,0.7218468,-1.4725393,4.8565474
comp.graphics,4.0284443,16.462265,-2.445695
rec.autos,11.152363,-4.828641,1.4135041
talk.politics.mideast,-10.749951,-2.3780308,-3.5087838
rec.autos,5.3138514,-6.503199,-2.1491697
sci.med,-2.16723,-1.1539267,-5.9912
rec.autos,8.19754,-7.370393,3.0080378
sci.med,-3.6930199,0.9959825,-5.829032
talk.politics.mideast,3.9800873,3.3814414,1.9256767
comp.graphics,-3.6840222,9.872495,-4.5529757
talk.politics.mideast,-4.672257,-11.523108,6.6685743
talk.politics.mideast,-5.087041,-11.468625,4.8204446
rec.sport.baseball,-0.25951958,-8.163222,3.2793427
talk.politics.mideast,6.551277,9.242351,1.5894536
sci.med,5.1979012,0.9241329,-3.4030635
