,x,y,z
rec.autos,0.73488486,-11.09736,-1.577556
comp.graphics,0.26042566,1.4169346,10.110842
sci.med,8.900371,4.424201,4.642002
comp.graphics,1.8356718,4.4192023,11.924859
rec.autos,3.592016,-14.722054,1.5101396
comp.graphics,4.8906503,-1.3296621,12.844313
rec.sport.baseball,9.5169325,-2.773473,-0.96009153
rec.autos,-6.6902947,-7.8402004,6.542646
sci.med,4.185846,12.919132,2.83816
talk.politics.mideast,-5.362131,13.465523,-9.919456
rec.sport.baseball,1.9731276,0.40365544,-9.325239
rec.sport.baseball,0.688691,-12.169286,-11.150875
rec.sport.baseball,6.9681244,-10.75468,-10.790066
sci.med,1.6298939,7.6515403,2.43417
talk.politics.mideast,1.2051498,9.14563,-14.977331
rec.autos,-1.4740673,-14.933033,9.045722
rec.autos,7.0887,2.3031616,-6.9720964
talk.politics.mideast,-0.46426982,10.561085,-16.669064
rec.autos,-7.146107,1.338621,-2.7075474
rec.autos,-6.4071884,-10.196693,3.9251375
rec.autos,5.3706093,-12.804254,2.3284578
comp.graphics,-1.8158739,5.8396564,15.569476
rec.autos,5.764161,-14.052677,6.745299
comp.graphics,-3.951953,-1.805036,16.966597
talk.politics.mideast,0.8066945,9.131565,-12.948922
comp.graphics,2.476781,1.3946439,13.946766
talk.politics.mideast,-3.8026721,2.5444443,-6.62927
comp.graphics,8.073337,0.56259584,3.4354823
rec.sport.baseball,-0.37184212,-1.6875207,-4.65066
sci.med,-5.571457,9.960828,6.324019
comp.graphics,-6.813645,-0.3010426,-10.384558
rec.sport.baseball,1.7821552,-3.3311098,-4.519304
sci.med,7.0449767,9.648867,5.9502163
talk.politics.mideast,2.072114,8.355981,-16.604078
rec.sport.baseball,6.716271,-0.21907744,-13.035033
comp.graphics,6.0905,-1.0828823,1.7766423
sci.med,-3.7638538,6.802115,7.974705
rec.sport.baseball,1.8595896,-8.977389,-18.270456
sci.med,-2.0080202,15.371872,5.2685657
comp.graphics,2.542558,-2.5735636,10.380542
talk.politics.mideast,-6.611906,15.496812,-6.07696
rec.autos,2.5505965,-17.025497,3.7821991
comp.graphics,-9.93792,-4.837758,8.988836
talk.politics.mideast,0.07353438,8.705273,-5.418842
rec.sport.baseball,3.651198,-3.2179015,-3.3847601
rec.sport.baseball,8.522672,-3.5881615,0.18893416
comp.graphics,-0.06708948,-0.5220351,2.629166
sci.med,-1.318465,8.87443,0.33560696
rec.sport.baseball,1.805202,-5.521185,-12.13924
sci.med,-0.24609753,12.787325,5.0593033
sci.med,-4.970746,9.597288,3.5666142
rec.sport.baseball,-3.155359,-2.0354602,-4.33285
comp.graphics,-0.8564522,-5.757415,12.046567
sci.med,0.1310112,3.3278394,-0.31758782
comp.graphics,-0.32632515,-5.3551984,13.505737
rec.autos,0.9745033,-7.6280904,-0.4488098
talk.politics.mideast,0.1302476,3.6511242,-5.774975
rec.autos,-2.7009404,-8.673084,3.8588953
sci.med,-8.285307,8.513112,7.750621
rec.autos,1.4522774,-3.8936996,1.5345106
sci.med,-4.582599,6.725071,2.30107
talk.politics.mideast,2.096471,11.400283,-4.275614
comp.graphics,-12.625271,1.1271636,4.8795686
talk.politics.mideast,8.743436,0.20516159,-0.185042
talk.politics.mideast,14.170924,0.19311275,-0.5110273
rec.sport.baseball,-0.35353372,-3.3325315,-2.6030762
talk.politics.mideast,4.9265428,10.9727745,-3.8533456
sci.med,-11.956252,2.5914752,2.6857567
rec.sport.baseball,-0.779103,-0.67218393,-2.9621267
rec.sport.baseball,11.066304,-1.3102632,-0.7977198
sci.med,-4.793373,12.72346,3.8850303
sci.med,-13.923638,9.028999,1.3616122
rec.sport.baseball,-1.1803609,-7.7003994,-10.048813
rec.sport.baseball,5.2315025,-12.8593445,-13.506662
rec.autos,-9.71416,-7.795995,4.6404433
rec.sport.baseball,3.0084643,-5.0794854,-11.689755
rec.sport.baseball,10.341463,-1.8140543,-2.1550303
talk.politics.mideast,1.8255525,9.320627,-9.007078
sci.med,-2.6614,10.170615,7.0524035
rec.autos,-4.9905567,-5.4748693,2.7868412
comp.graphics,2.8496861,0.27459863,14.529128
rec.sport.baseball,-3.2462187,-7.0798345,-0.82284695
comp.graphics,7.2064633,-2.2642512,7.7021112
talk.politics.mideast,-3.9181397,6.3169837,-3.2985258
rec.sport.baseball,7.072887,-6.229001,-2.3678288
talk.politics.mideast,-6.3713875,15.233874,-6.0266166
talk.politics.mideast,10.502306,-2.3142064,-0.88977903
rec.sport.baseball,-0.9000585,-3.0630496,-6.403618
sci.med,-0.93317235,7.2234316,2.765577
comp.graphics,7.8086677,0.096047044,8.4279375
sci.med,-6.961444,0.7752775,4.4338293
sci.med,-7.1956067,6.20319,4.904973
talk.politics.mideast,3.57033,4.9447947,-3.9653256
rec.sport.baseball,-1.0066485,-10.262091,-9.894317
rec.sport.baseball,11.185823,-2.807339,2.726821
rec.sport.baseball,1.6395772,-8.087831,-14.396991
comp.graphics,2.7108731,-4.793407,8.646511
sci.med,-2.9492345,8.68055,9.680346
rec.sport.baseball,7.193712,-5.1220303,-8.961394
talk.politics.mideast,2.4517508,4.863037,-3.9557498
sci.med,4.6021647,13.397042,3.1267374
rec.sport.baseball,5.9523253,-0.84235,-2.9884336
comp.graphics,-8.71399,-2.1528375,11.186114
talk.politics.mideast,-0.41632026,8.399709,-15.50524
comp.graphics,4.016485,-1.9755093,14.264172
sci.med,-6.434344,10.259402,1.3329222
talk.politics.mideast,-4.0424967,2.3080554,-2.678865
sci.med,-3.0315044,11.600552,2.8017123
rec.autos,5.874163,-6.4707546,3.4187624
comp.graphics,-1.066149,-3.9121919,11.274566
rec.autos,-6.3491893,0.61444336,1.1100785
sci.med,-1.9455328,6.003387,2.9143162
sci.med,1.6977892,6.0785313,1.0986862
rec.autos,1.9744252,-15.781117,-2.2732775
rec.sport.baseball,0.12800452,1.321564,-0.45412037
talk.politics.mideast,0.5271307,14.882762,-3.6920328
sci.med,-8.852618,3.5412526,7.269374
rec.autos,7.5431995,0.7526923,-1.0047586
rec.autos,2.2124925,-11.582043,4.8105197
comp.graphics,4.69663,1.2772032,4.145143
